	Otu004_Prorocentrum	Otu008_Dinophyceae_X	Otu012_Gonyaulax	Otu015_Dinophyceae_X	Otu027_Karlodinium	Otu034_Dinophyceae_X	Otu040_Dinophyceae_X	Otu042_Dinophyceae_X	Otu001_Ostreococcus	Otu003_Bathycoccus	Otu025_Micromonas	Otu044_Micromonas	Otu032_Prasino_Clade_VII_A_4_X	Otu033_Ulva	Otu030_Teleaulax	Otu002_UCYN_A1_host	Otu009_Chrysochromulina	Otu020_Braarudosphaera	Otu022_Syracosphaera	Otu028_Emiliania	Otu039_Algirosphaera	Otu072_Prymnesiales_X	Otu005_Thalassiosira	Otu006_Pseudo_nitzschia	Otu023_Bacillariophyceae_X	Otu026_Cylindrotheca	Otu011_Chrysophyceae_Clade_C_X	Otu014_Chrysophyceae_Clade_G_X	Otu035_Chrysophyceae_Clade_G_X	Otu038_Chrysophyceae_Clade_G_X	Otu041_Chrysophyceae_Clade_I_X	Otu018_Pedinellales_X	Otu007_Pelagomonas	Otu001_nifH_UCYN_A1	Otu002_nifH_UCYN_A2	Otu004_nifH_UCYN_A3	Otu010_nifH_UCYN_A4
Otu004_Prorocentrum	1.0	0.86	0.14	0.97	0.65	0.63	0.02	0.99	0.0	0.33	0.29	0.9	0.69	0.44	0.98	0.36	0.52	0.11	0.05	0.71	0.12	0.69	0.48	0.07	0.14	0.27	0.1	0.1	0.85	0.67	0.58	0.77	0.91	0.0	0.66	0.47	0.0
Otu008_Dinophyceae_X	0.86	1.0	0.49	0.3	0.07	0.09	0.68	0.18	0.48	0.33	0.72	0.14	0.94	0.3	0.54	0.83	0.29	0.88	0.85	0.02	0.89	0.23	0.26	0.47	0.59	0.83	0.04	0.03	0.41	0.01	0.6	0.09	0.46	0.87	0.19	0.05	0.43
Otu012_Gonyaulax	0.14	0.49	1.0	0.23	0.01	0.07	0.92	0.62	0.03	0.76	0.48	0.02	0.42	0.5	0.87	0.05	0.53	0.25	0.03	0.73	0.43	0.29	0.03	0.92	0.1	0.27	0.09	0.42	0.49	0.79	0.5	0.77	0.96	0.16	0.14	0.2	0.35
Otu015_Dinophyceae_X	0.97	0.3	0.23	1.0	0.05	0.76	0.89	0.4	0.95	0.1	1.0	0.18	0.94	0.7	0.73	0.17	0.71	0.3	0.63	0.42	0.52	0.74	0.75	0.89	0.14	0.78	0.15	0.9	0.24	0.66	0.12	0.71	0.71	0.39	0.12	0.91	0.39
Otu027_Karlodinium	0.65	0.07	0.01	0.05	1.0	0.12	0.77	0.34	0.0	0.0	0.21	0.0	0.1	0.8	0.61	0.72	0.83	0.89	0.53	0.38	0.56	0.96	0.87	0.33	0.89	0.69	0.2	0.66	0.62	0.34	0.28	0.75	0.04	0.1	0.86	0.7	0.76
Otu034_Dinophyceae_X	0.63	0.09	0.07	0.76	0.12	1.0	0.36	0.07	0.0	0.8	0.71	0.35	0.63	0.43	0.0	0.79	0.5	0.85	0.9	0.39	0.54	0.16	0.31	0.54	0.06	0.7	0.4	0.35	0.31	0.13	0.09	0.28	0.93	0.21	0.35	0.24	0.97
Otu040_Dinophyceae_X	0.02	0.68	0.92	0.89	0.77	0.36	1.0	0.85	0.37	0.42	0.75	0.2	0.02	0.61	0.67	0.2	0.86	0.15	0.89	0.36	0.0	0.05	0.54	0.46	0.37	0.7	0.38	0.35	0.13	0.62	0.98	0.1	0.89	0.49	0.61	0.05	0.01
Otu042_Dinophyceae_X	0.99	0.18	0.62	0.4	0.34	0.07	0.85	1.0	0.01	0.0	0.0	1.0	0.48	0.61	0.73	0.87	0.68	0.0	0.11	0.76	0.17	0.18	0.09	0.29	0.99	0.92	0.92	0.01	0.55	0.11	0.35	0.11	0.86	0.06	0.51	0.0	0.74
Otu001_Ostreococcus	0.0	0.48	0.03	0.95	0.0	0.0	0.37	0.01	1.0	0.0	0.13	0.03	0.56	0.21	0.21	0.15	0.58	0.28	0.46	0.57	0.39	0.14	0.28	0.92	0.01	0.05	0.97	0.63	0.76	0.76	0.03	0.96	0.02	0.0	1.0	0.36	0.22
Otu003_Bathycoccus	0.33	0.33	0.76	0.1	0.0	0.8	0.42	0.0	0.0	1.0	0.0	0.01	0.02	0.27	0.96	0.88	0.1	0.35	0.42	0.81	0.67	0.0	0.69	0.53	0.7	0.48	0.05	0.22	0.58	0.1	0.01	0.33	0.08	0.05	0.97	0.02	0.11
Otu025_Micromonas	0.29	0.72	0.48	1.0	0.21	0.71	0.75	0.0	0.13	0.0	1.0	0.34	0.5	0.88	0.75	0.17	0.17	0.54	0.55	0.88	0.81	0.02	0.92	0.86	0.71	0.85	0.55	0.02	0.42	0.41	0.21	0.41	0.44	0.12	0.9	0.23	0.82
Otu044_Micromonas	0.9	0.14	0.02	0.18	0.0	0.35	0.2	1.0	0.03	0.01	0.34	1.0	0.02	0.66	0.19	0.26	0.72	0.98	0.16	0.05	0.9	0.55	0.29	0.09	0.38	0.51	0.77	0.34	0.16	0.42	0.92	0.31	0.12	0.22	0.29	0.51	0.19
Otu032_Prasino_Clade_VII_A_4_X	0.69	0.94	0.42	0.94	0.1	0.63	0.02	0.48	0.56	0.02	0.5	0.02	1.0	0.4	0.95	0.88	0.21	0.84	0.13	0.03	0.95	0.27	0.3	0.42	0.83	1.0	0.93	0.56	0.63	0.86	0.46	0.4	0.48	0.32	0.01	0.47	0.35
Otu033_Ulva	0.44	0.3	0.5	0.7	0.8	0.43	0.61	0.61	0.21	0.27	0.88	0.66	0.4	1.0	0.15	0.37	0.73	0.64	0.54	0.89	0.76	0.03	0.43	0.03	0.7	0.0	0.73	0.89	0.39	0.81	0.44	0.23	0.23	0.16	0.41	0.7	0.61
Otu030_Teleaulax	0.98	0.54	0.87	0.73	0.61	0.0	0.67	0.73	0.21	0.96	0.75	0.19	0.95	0.15	1.0	0.06	0.02	0.44	0.88	0.01	0.74	0.58	0.0	0.0	0.28	0.14	0.62	0.42	0.35	0.28	0.01	0.0	0.01	0.24	0.47	0.82	0.86
Otu002_UCYN_A1_host	0.36	0.83	0.05	0.17	0.72	0.79	0.2	0.87	0.15	0.88	0.17	0.26	0.88	0.37	0.06	1.0	0.0	0.13	0.13	0.52	0.1	0.07	0.46	0.32	0.88	0.74	0.81	0.18	0.58	0.09	0.93	0.26	0.07	0.0	0.36	0.55	0.27
Otu009_Chrysochromulina	0.52	0.29	0.53	0.71	0.83	0.5	0.86	0.68	0.58	0.1	0.17	0.72	0.21	0.73	0.02	0.0	1.0	0.37	0.0	0.9	0.17	0.13	0.47	0.61	0.83	0.65	0.81	0.35	0.31	0.89	0.7	0.2	0.17	0.37	0.25	0.67	0.72
Otu020_Braarudosphaera	0.11	0.88	0.25	0.3	0.89	0.85	0.15	0.0	0.28	0.35	0.54	0.98	0.84	0.64	0.44	0.13	0.37	1.0	0.46	0.14	0.0	0.6	0.03	0.83	0.21	0.6	0.05	0.16	0.7	0.04	0.04	0.48	0.73	0.08	0.02	0.15	0.03
