station	depth	date	time	bottom_depth	latitude	longitude	phosphates	silicates	ammonia	nitrates	nitrites	temperature	fluorescence	salinity
6	30	31/10/2013	05:20	158	-23.6	-41.8	0.34	1.80	0.00	0.00	0.02	22.0	281.75	36.5
6	45	31/10/2013	05:20	158	-23.6	-41.8	0.47	1.03	0.00	1.07	0.24	19.7	2773.75	36.3
6	70	31/10/2013	05:20	158	-23.6	-41.8	0.74	2.68	0.00	4.60	0.13	16.8	409.00	35.8
6	100	31/10/2013	05:20	158	-23.6	-41.8	0.69	2.90	0.15	7.29	0.04	15.1	74.33	35.5
9	30	31/10/2013	19:00	1240	-24.0	-41.6	0.38	1.64	0.04	0.00	0.04	22.5	327.80	36.8
9	90	31/10/2013	19:00	1240	-24.0	-41.6	0.60	2.96	0.15	2.16	0.20	19.8	623.00	36.3
9	130	31/10/2013	19:00	1240	-24.0	-41.6	0.69	3.12	0.15	3.95	0.33	17.6	631.80	35.9
9	180	31/10/2013	19:00	1240	-24.0	-41.6	0.51	2.79	0.09	1.59	0.13	15.0	318.00	35.5
10	30	01/11/2013	01:00	1538	-24.1	-41.5	0.29	1.80	0.15	8.29	0.00	24.1	128.90	37.3
10	140	01/11/2013	01:00	1538	-24.1	-41.5	0.29	1.58	0.09	0.00	0.04	20.2	73.50	36.4
10	1300	01/11/2013	01:00	1538	-24.1	-41.5	2.37	44.08	0.15	26.87	0.07	3.5	39.50	34.6
19	5	02/11/2013	13:30	3316	-25.8	-40.4	0.29	1.31	0.04	0.48	0.02	22.7	37.00	36.9
21	5	02/11/2013	00:00	2388	-26.2	-40.1	0.16	1.09	0.15	0.90	0.05	22.8	98.00	36.9
26	5	03/11/2013	19:30	4150	-27.3	-39.4	0.20	1.03	0.32	0.50	0.05	21.2	95.33	36.4
81	5	13/11/2013	01:00	2632	-27.4	-44.7	0.16	1.47	0	0.20	0.07	22	92.80	36.4
81	30	13/11/2013	01:00	2632	-27.4	-44.7	0.16	2.9	0	0.22	0.05	21.6	104.80	36.4
81	80	13/11/2013	01:00	2632	-27.4	-44.7	0.12	1.97	0	0.20	0.07	20	203.50	36.2
81	140	13/11/2013	01:00	2632	-27.4	-44.7	0.2	1.64	0	0.26	0.07	17.3	553.80	35.9
81	190	13/11/2013	01:00	2632	-27.4	-44.7	0.51	1.97	0.04	3.37	0.14	16.8	19.80	35.9
85	5	13/11/2013	13:30	2100	-26.8	-45.3	0.29	1.64	0	0.18	0.14	22.9	32.20	35.8
85	70	13/11/2013	13:30	2100	-26.8	-45.3	0.29	1.97	0	0.20	0.02	22.2	284.60	36.2
85	110	13/11/2013	13:30	2100	-26.8	-45.3	0.29	1.58	0	0.22	0.05	21.3	397.50	36.5
85	160	13/11/2013	13:30	2100	-26.8	-45.3	0.51	2.35	0	2.60	0.26	18.8	216.00	36.1
85	200	13/11/2013	13:30	2100	-26.8	-45.3	0.38	2.85	0.15	2.32	0.12	16.2	57.30	35.7
86	5	13/11/2013	17:00	1739	-26.3	-45.4	0.29	1.64	0.15	0.41	0.07	23.6	39.00	36.3
86	70	13/11/2013	17:00	1739	-26.3	-45.4	0.29	1.25	0	0.18	0	22.8	239.30	36.2
86	105	13/11/2013	17:00	1739	-26.3	-45.4	0.34	1.09	0.04	0.15	0.26	20.9	425.60	36.3
86	160	13/11/2013	17:00	1739	-26.3	-45.4	0.78	3.84	0	6.32	0.07	16.8	72.00	35.8
86	190	13/11/2013	17:00	1739	-26.3	-45.4	0.82	3.07	0	8.28	0.28	15	2.70	35.5
87	5	13/11/2013	19:30	1213	-26.2	-45.5	0.29	2.19	0.49	0.28	0.05	23.8	52.60	36.3
87	70	13/11/2013	19:30	1213	-26.2	-45.5	0.29	1.09	0	0.24	0.19	22.7	157.00	36.3
87	105	13/11/2013	19:30	1213	-26.2	-45.5	0.47	1.47	0	1.51	0.46	19.5	473.70	36.1
87	160	13/11/2013	19:30	1213	-26.2	-45.5	0.82	2.68	0.09	5.61	0.12	15.5	22.00	35.5
87	190	13/11/2013	19:30	1213	-26.2	-45.5	0.96	2.79	0	8.74	0.12	14.4		35.4
88	5	13/11/2013	21:30	850	-26.1	-45.6	0.29	1.31	0	0.25	0.07			
88	30	13/11/2013	21:30	850	-26.1	-45.6	0.29	1.25	0	0.22	0.14			
88	50	13/11/2013	21:30	850	-26.1	-45.6	0.29	1.14	0.04	0.24	0.07			
88	80	13/11/2013	21:30	850	-26.1	-45.6	0.38	1.36	0.32	0.80	0.65			
88	100	13/11/2013	21:30	850	-26.1	-45.6	0.6	2.08	0	3.93	0.67			
89	5	13/11/2013	23:30	424	-26.0	-45.6	0.29	1.31	0.27	0.34	0.14	23.3	69.00	36.2
89	30	13/11/2013	23:30	424	-26.0	-45.6	0.29	2.35	0.21	0.16	0.12	23	50.70	36.1
89	70	13/11/2013	23:30	424	-26.0	-45.6	0.34	1.25	0	0.29	0.3	22.5	136.30	36.6
89	95	13/11/2013	23:30	424	-26.0	-45.6	0.65	2.3	0.38	5.31	0.14	18.8	271.20	36.1
89	110	13/11/2013	23:30	424	-26.0	-45.6	0.69	3.51	0	6.32	0.14	17.3	107.30	35.8
90	5	14/11/2013	01:30	235	-25.9	-45.7	0.29	1.36	0	0.23	0.09	23.5	46.40	36.2
90	30	14/11/2013	01:30	235	-25.9	-45.7	0.29	1.25	0	0.26	0.12	23.1	44.70	36.4
90	60	14/11/2013	01:30	235	-25.9	-45.7	0.69	2.19	0	3.41	0.21	19.7	671.00	36.2
90	80	14/11/2013	01:30	235	-25.9	-45.7	0.82	4.55	0	6.55	0.09	16.8	139.50	35.7
90	100	14/11/2013	01:30	235	-25.9	-45.7	0.87	3.23	0	7.88	0.12	15.4	31.50	35.5
92	5	14/11/2013	03:30	156	-25.6	-45.9	0.29	8.13	0	0.04	0.28	23	53.00	35.9
92	30	14/11/2013	03:30	156	-25.6	-45.9	0.29	1.09	0	0.25	0.07	22.4	68.20	36.2
92	60	14/11/2013	03:30	156	-25.6	-45.9	0.38	1.36	0.15	0.09	0.23	20.9	512.80	36.5
92	80	14/11/2013	03:30	156	-25.6	-45.9	0.34	2.13	0.09	4.10	0.37	18.1	623.00	36
92	100	14/11/2013	03:30	156	-25.6	-45.9	0.47	2.52	0	5.58	0.16	15.8	207.60	35.6
96	5	18/11/2013	23:50	111	-27.6	-48.1	0.43	4	0	0.19	0.14	23.1	149.30	33.5
96	30	18/11/2013	23:50	111	-27.6	-48.1	0.43	3.89	0.04	0.23	0.09	22.6	223.90	33.7
96	50	18/11/2013	23:50	111	-27.6	-48.1	0.56	6.59	0.04	0.21	0.07	20.3	779.60	35.9
96	80	18/11/2013	23:50	111	-27.6	-48.1	0.87	6.26	0	7.25	0.16	15.8	317.60	35.6
96	95	18/11/2013	23:50	111	-27.6	-48.1	1.09	5.93	0.04	9.13	0.09	13.9	88.00	35.3
98	5	18/11/2013	05:00	265	-27.6	-47.5	0.29	1.86	0.04	0.25	0.07	23.1	89.30	35.7
98	50	18/11/2013	05:00	265	-27.6	-47.5	0.25	0.98	0	0.20	0.12	23.7	113.20	37.2
98	85	18/11/2013	05:00	265	-27.6	-47.5	0.25	1.03	0	0.47	0.26	22.9	427.50	37
98	110	18/11/2013	05:00	265	-27.6	-47.5	0.51	4.5	0	1.59	0.14	21.3	247.10	36.6
98	125	18/11/2013	05:00	265	-27.6	-47.5	0.6	1.91	0	3.56	0.16	19	85.80	36.2
99	5	18/11/2013	06:50	262	-27.2	-47.3	0.29	1.53	0	0.28	0.05	23.2	88.50	36.3
99	50	18/11/2013	06:50	262	-27.2	-47.3	0.2	0.81	0	0.28	0.05	23.6	124.20	37.2
99	85	18/11/2013	06:50	262	-27.2	-47.3	0.25	0.98	0.04	0.33	0.09	23.4	461.20	37.1
99	115	18/11/2013	06:50	262	-27.2	-47.3	0.29	1.03	0	0.59	0.14	22.1	207.10	36.8
99	140	18/11/2013	06:50	262	-27.2	-47.3	0.56	1.42	0	2.16	0.12	19.7	85.90	36.3
100	5	18/11/2013	09:32	474	-27.7	-47.1	0.29	1.03	0	0.22	0.05	23.5	16.80	36.8
100	50	18/11/2013	09:32	474	-27.7	-47.1	0.29	1.03	0	0.22	0.05	23.6	102.20	37.1
100	110	18/11/2013	09:32	474	-27.7	-47.1	0.29	1.03	0	0.29	0.14	22.6	459.90	36.9
100	130	18/11/2013	09:32	474	-27.7	-47.1	0.47	1.14	0			21.3	251.00	36.6
100	170	18/11/2013	09:32	474	-27.7	-47.1	0.47	1.31	0	1.61	0.09	20.1	58.00	36.4
101	5	18/11/2013	12:00	625	-27.8	-47.1	0.29	1.2	0	0.14	0.05	23.5	54.00	36.5
101	60	18/11/2013	12:00	625	-27.8	-47.1	0.25	1.03	0	0.22	0.09	23.7	106.50	37.2
101	110	18/11/2013	12:00	625	-27.8	-47.1	0.29	1.09	0	0.84	0.23	23.3	373.00	37.1
101	130	18/11/2013	12:00	625	-27.8	-47.1	0.29	1.03	0	0.59	0.09	22	221.90	36.8
101	170	18/11/2013	12:00	625	-27.8	-47.1	0.56	1.64	0	3.30	0.16	20.2	38.30	36.4
102	5	18/11/2013	15:30	887	-28.0	-46.9	0.43	1.14	0.04	0.16	0.05	23.7	8.00	36.8
102	65	18/11/2013	15:30	887	-28.0	-46.9	0.2	1.09	0.09	0.25	0.07	23.2	119.30	37
102	100	18/11/2013	15:30	887	-28.0	-46.9	0.25	1.03	0	0.22	0.05	22.7	283.90	36.9
102	150	18/11/2013	15:30	887	-28.0	-46.9	0.29	1.03	0.15	0.61	0.14	21.4	312.60	36.7
102	180	18/11/2013	15:30	887	-28.0	-46.9	0.51	1.42	0.44	2.11	0.09	20.2	122.80	36.4
103	5	18/11/2013	17:23	1300	-27.9	-46.6	0.25	1.75	0.04	0.14	0.05	22.9	21.70	36.7
103	65	18/11/2013	17:23	1300	-27.9	-46.6	0.25	1.14	0	0.11	0.05	22.5	127.00	36.7
103	100	18/11/2013	17:23	1300	-27.9	-46.6	0.29	1.14	0	0.25	0.07	22	388.00	36.7
103	150	18/11/2013	17:23	1300	-27.9	-46.6	0.34	1.03	0.09	0.38	0.16	21	182.70	36.6
103	180	18/11/2013	17:23	1300	-27.9	-46.6	0.29	1.14	0	0.92	0.14	20	46.90	36.4
106	5	19/11/2013	02:30	2425	-28.1	-46.2	0.25	1.03	0	0.37	0.09	23	55.30	36.9
106	60	19/11/2013	02:30	2425	-28.1	-46.2	0.25	1.03	0	0.34	0.07	22.9	98.50	36.9
106	100	19/11/2013	02:30	2425	-28.1	-46.2	0.29	0.98	0	0.40	0.07	21.5	413.20	36.7
106	130	19/11/2013	02:30	2425	-28.1	-46.2	0.29	1.03	0	0.61	0.14	20.8	137.90	36.5
106	190	19/11/2013	02:30	2425	-28.1	-46.2	0.38	1.09	0.32	1.53	0.09	19.5	15.90	36.3
110	5	19/11/2013	11:27	2991	-28.4	-45.5	0.29	1.2	0	0.46	0.07	22.6	26.90	36.7
110	50	19/11/2013	11:27	2991	-28.4	-45.5	0.29	1.14	0.21	0.18	0.05	22.4	106.90	36.7
110	90	19/11/2013	11:27	2991	-28.4	-45.5	0.29	1.03	0	0.47	0.16	21.5	481.90	36.7
110	140	19/11/2013	11:27	2991	-28.4	-45.5	0.38	1.09	0.15	1.19	0.12	20	134.00	36.4
110	170	19/11/2013	11:27	2991	-28.4	-45.5	0.51	1.31	0	2.28	0.09	18.8	152.70	36.2
114	5	19/11/2013	21:40	3509	-28.7	-45.0	0.29	1.36	0.09	0.28	0.05	22.4	54.20	36.4
114	60	19/11/2013	21:40	3509	-28.7	-45.0	0.16	0.98	0	0.25	0.07	21.4	75.90	36.6
114	80	19/11/2013	21:40	3509	-28.7	-45.0	0.2	0.98	0	0.21	0.02	21	242.90	36.6
114	100	19/11/2013	21:40	3509	-28.7	-45.0	0.25	0.98	0.04	0.25	0.02	20.5	267.30	36.5
114	160	19/11/2013	21:40	3509	-28.7	-45.0	0.38	1.09	0.04	1.14	0.07	18.7	136.20	36.1
133	5	22/11/2013	11:31	86	-29.7	-49.2	0.38	2.85	0	0.23	0.09			
134	5	22/11/2013	14:17	124	-29.9	-48.9	0.34	2.57	0	0.25	0.07	22.8	45.50	34.2
136	5	22/11/2013	16:33	185	-30.1	-48.5	0.38	1.69	0	0.27	0.09	22.4	112.43	33.5
137	5	22/11/2013	19:15	229	-30.1	-48.3	0.2	1.36	0	0.25	0.07	22.3	210.12	34.7
138	5	22/11/2013	20:10	315	-30.4	-48.3	0.34	1.8	0	0.23	0.09	22.8	115.06	35.5
139	5	22/11/2013	21:45	398	-30.3	-48.0	0.34	1.36	0	0.36	0.12	22.8	145.73	35.2
140	5	22/11/2013	23:10	551	-30.5	-48.0	0.38	1.86	0	0.21	0.07	23.0	100.02	35.4
141	5	23/11/2013	00:30	810	-30.5	-47.8	0.29	1.31	0	0.25	0.07	23.0	80.92	36.0
142	5	23/11/2013	02:30	1390	-30.7	-47.8	0.29	2.41	0	0.24	0.07	23.0	124.06	36.8
143	5	23/11/2013	04:50	1938	-30.8	-47.6	0.29	1.25	0	0.25	0.07	21.1	98.65	36.2
145	5	23/11/2013	09:13	3180	-30.6	-47.1	0.29	1.25	0	0.29	0.09	21.9	36.21	36.6
147	5	23/11/2013	13:30	3199	-31.1	-46.9	0.29	3.18	0	0.28	0.09	20.2	17.20	36.3
