transect	station	depth	sample	latitude	longitude	bottom_depth	bacteria	prochlorococcus	synechococcus	picoeukaryotes	nanoeukaryotes	temperature	salinity	fluorescence	nitrates	phosphates
1	81	5	39	-27.4	-44.7	2632	944895	173422	10270	725	2020	22	36.4	92.8	0.20	0.16
1	81	30	41	-27.4	-44.7	2632	928357	184701	9961	525	2049	21.6	36.4	104.8	0.22	0.16
1	81	80	43	-27.4	-44.7	2632	745237	261338	13363	583	1686	20	36.2	203.5	0.20	0.12
1	81	140	45	-27.4	-44.7	2632	568090	188485	10078	2510	1505	17.3	35.9	553.8	0.26	0.2
1	81	190	47	-27.4	-44.7	2632	372497	26328	623	1426	275	16.8	35.9	19.8	3.37	0.51
1	85	5	49	-26.8	-45.3	2100	862294	43431	54789	686	1142	22.9	35.8	32.2	0.18	0.29
1	85	70	51	-26.8	-45.3	2100	710229	72446	47260	377	1980	22.2	36.2	284.6	0.20	0.29
1	85	110	53	-26.8	-45.3	2100	620778	101397	9446	4877	2515	21.3	36.5	397.5	0.22	0.29
1	85	160	55	-26.8	-45.3	2100	466624	36951	784	1387	1436	18.8	36.1	216	2.60	0.51
1	85	200	57	-26.8	-45.3	2100	519838	19270	9721	1578	799	16.2	35.7	57.3	2.32	0.38
1	86	5	59	-26.3	-45.4	1739	845639	44861	35866	431	176	23.6	36.3	39	0.41	0.29
1	86	70	61	-26.3	-45.4	1739	659083	144750	34509	926	1218	22.8	36.2	239.3	0.18	0.29
1	86	105	63	-26.3	-45.4	1739	783348	45569	9241	2356	2037	20.9	36.3	425.6	0.15	0.34
1	86	160	65	-26.3	-45.4	1739	342064	9269	255	213	384	16.8	35.8	72	6.32	0.78
1	86	190	67	-26.3	-45.4	1739	226208	375	125	42	60	15	35.5	2.7	8.28	0.82
1	87	5	69	-26.2	-45.5	1213	647815	89435	26620	468	398	23.8	36.3	52.6	0.28	0.29
1	87	70	71	-26.2	-45.5	1213	663889	145028	27713	833	384	22.7	36.3	157	0.24	0.29
1	87	105	73	-26.2	-45.5	1213	518805	47778	2060	2130	2037	19.5	36.1	473.7	1.51	0.47
1	87	160	75	-26.2	-45.5	1213	267014	1069	111	37	139	15.5	35.5	22	5.61	0.82
1	87	190	77	-26.2	-45.5	1213	183917	0	60	14	9	14.4	35.4		8.74	0.96
1	88	5	79	-26.1	-45.6	850	639584	96833	34093	681	560				0.25	0.29
1	88	30	81	-26.1	-45.6	850	803926	147907	46389	634	736				0.22	0.29
1	88	50	83	-26.1	-45.6	850	859268	208815	23676	1718	1644				0.24	0.29
1	88	80	85	-26.1	-45.6	850	1016709	43458	21449	8644	2264				0.80	0.38
1	88	100	87	-26.1	-45.6	850	539602	18648	574	1718	801				3.93	0.6
1	89	5	89	-26	-45.6	424	705995	101838	49986	745	736	23.3	36.2	69	0.34	0.29
1	89	30	91	-26	-45.6	424	735861	102056	56278	1032	843	23	36.1	50.7	0.16	0.29
1	89	70	93	-26	-45.6	424	674991	75509	9282	17542	4130	22.5	36.6	136.3	0.29	0.34
1	89	95	95	-26	-45.6	424	511857	7310	528	690	995	18.8	36.1	271.2	5.31	0.65
1	89	110	97	-26	-45.6	424	474166	1667	398	310	588	17.3	35.8	107.3	6.32	0.69
1	90	5	99	-25.9	-45.7	235	593097	75153	30239	468	667	23.5	36.2	46.4	0.23	0.29
1	90	30	102	-25.9	-45.7	235	632014	139486	20371	571	990	23.1	36.4	44.7	0.26	0.29
1	90	60	103	-25.9	-45.7	235	518144	4023	644	1009	1982	19.7	36.2	671	3.41	0.69
1	90	80	105	-25.9	-45.7	235	300577	423	284	221	419	16.8	35.7	139.5	6.55	0.82
1	90	100	107	-25.9	-45.7	235	229430	153	248	108	86	15.4	35.5	31.5	7.88	0.87
1	92	5	109	-25.6	-45.9	156	980804	103113	81374	1315	995	23	35.9	53	0.04	0.29
1	92	30	111	-25.6	-45.9	156	1124318	140432	9360	18437	5153	22.4	36.2	68.2	0.25	0.29
1	92	60	113	-25.6	-45.9	156	1057079	228671	22932	1239	1131	20.9	36.5	512.8	0.09	0.38
1	92	80	115	-25.6	-45.9	156	640696	23554	3086	3698	2450	18.1	36	623	4.10	0.34
1	92	100	117	-25.6	-45.9	156	453151	6599	1081	1095	1383	15.8	35.6	207.6	5.58	0.47
2	96	5	120	-27.6	-48.1	111	1062014	193319	56132	877	1270	23.1	33.5	149.3	0.19	0.43
2	96	30	121	-27.6	-48.1	111	995279	228554	64088	735	1598	22.6	33.7	223.9	0.23	0.43
2	96	50	122	-27.6	-48.1	111	817319	130098	66578	975	1716	20.3	35.9	779.6	0.21	0.56
2	96	80	123	-27.6	-48.1	111	505314	29353	770	328	941	15.8	35.6	317.6	7.25	0.87
2	96	95	124	-27.6	-48.1	111	374348	3902	289	44	265	13.9	35.3	88	9.13	1.09
2	98	5	125	-27.6	-47.5	265	742431	217152	31235	647	1377	23.1	35.7	89.3	0.25	0.29
2	98	50	126	-27.6	-47.5	265	427755	228328	4441	49	1373	23.7	37.2	113.2	0.20	0.25
2	98	85	127	-27.6	-47.5	265	370617	78716	1235	3466	490	22.9	37	427.5	0.47	0.25
2	98	110	128	-27.6	-47.5	265	284731	14852	162	386	610	21.3	36.6	247.1	1.59	0.51
2	98	125	129	-27.6	-47.5	265	315010	4407	255	877	373	19	36.2	85.8	3.56	0.6
2	99	5	130	-27.2	-47.3	262	770991	170426	28858	814	951	23.2	36.3	88.5	0.28	0.29
2	99	50	131	-27.2	-47.3	262	561776	290224	8357	286	943	23.6	37.2	124.2	0.28	0.2
2	99	85	132	-27.2	-47.3	262	416715	100952	2805	2071	814	23.4	37.1	461.2	0.33	0.25
2	99	115	133	-27.2	-47.3	262	293854	24729	262	1076	90	22.1	36.8	207.1	0.59	0.29
2	99	140	134	-27.2	-47.3	262	219426	2824	57	210	38	19.7	36.3	85.9	2.16	0.56
2	100	5	135	-27.7	-47.1	474	660426	126657	11343	738	448	23.5	36.8	16.8	0.22	0.29
2	100	50	136	-27.7	-47.1	474	710766	215067	10214	495	519	23.6	37.1	102.2	0.22	0.29
2	100	110	137	-27.7	-47.1	474	382650	121267	2729	2800	1933	22.6	36.9	459.9	0.29	0.29
2	100	130	138	-27.7	-47.1	474	279928	20905	71	700	81	21.3	36.6	251		0.47
2	100	170	139	-27.7	-47.1	474	233531	11719	329	86	352	20.1	36.4	58	1.61	0.47
2	101	5	140	-27.8	-47.1	625	877857	8143	10838	819	724	23.5	36.5	54	0.14	0.29
2	101	60	141	-27.8	-47.1	625	595198	290552	7524	243	876	23.7	37.2	106.5	0.22	0.25
2	101	110	142	-27.8	-47.1	625	327002	29581	543	533	948	23.3	37.1	373	0.84	0.29
2	101	130	143	-27.8	-47.1	625	312067	16100	95	148	619	22	36.8	221.9	0.59	0.29
2	101	170	144	-27.8	-47.1	625	240138	1695	48	95	186	20.2	36.4	38.3	3.30	0.56
2	102	5	145	-28	-46.9	887	792947	45886	8300	371	810	23.7	36.8	8	0.16	0.43
2	102	65	146	-28	-46.9	887	685179	289738	8957	219	1329	23.2	37	119.3	0.25	0.2
2	102	100	147	-28	-46.9	887	603196	194471	5981	695	1076	22.7	36.9	283.9	0.22	0.25
2	102	150	148	-28	-46.9	887	357779	29971	1200	1067	381	21.4	36.7	312.6	0.61	0.29
2	102	180	149	-28	-46.9	887	261738	262	52	33	33	20.2	36.4	122.8	2.11	0.51
2	103	5	150	-27.9	-46.6	1300	910531	120219	7157	452	490	22.9	36.7	21.7	0.14	0.25
2	103	65	151	-27.9	-46.6	1300	873133	252700	10210	600	462	22.5	36.7	127	0.11	0.25
2	103	100	152	-27.9	-46.6	1300	577593	150824	7186	2386	695	22	36.7	388	0.25	0.29
2	103	150	153	-27.9	-46.6	1300	462845	29905	1371	1100	157	21	36.6	182.7	0.38	0.34
2	103	180	154	-27.9	-46.6	1300	432431	10152	652	471	138	20	36.4	46.9	0.92	0.29
2	106	5	155	-28.1	-46.2	2425	758346	119571	6181	681	510	23	36.9	55.3	0.37	0.25
2	106	60	156	-28.1	-46.2	2425	743247	180086	8352	610	762	22.9	36.9	98.5	0.34	0.25
2	106	100	157	-28.1	-46.2	2425	454190	226810	8186	4029	1790	21.5	36.7	413.2	0.40	0.29
2	106	130	158	-28.1	-46.2	2425	368510	26490	1071	586	1710	20.8	36.5	137.9	0.61	0.29
2	106	190	159	-28.1	-46.2	2425	311124	876	62	14	176	19.5	36.3	15.9	1.53	0.38
2	110	5	160	-28.4	-45.5	2991	773486	210681	6733	200	957	22.6	36.7	26.9	0.46	0.29
2	110	50	161	-28.4	-45.5	2991	717757	239243	13724	519	1119	22.4	36.7	106.9	0.18	0.29
2	110	90	162	-28.4	-45.5	2991	365212	65705	1433	1033	1476	21.5	36.7	481.9	0.47	0.29
2	110	140	163	-28.4	-45.5	2991	322290	9210	524	338	262	20	36.4	134	1.19	0.38
