sample_id	sample_illumina	sample	fraction	Select_18S_nifH	total_18S	total_16S	total_nifH	sample_number	transect	station_order	station	depth	latitude	longitude	picoeuks	nanoeuks	bottom_depth	level	transect_distance
X10n	10n	10	Nano	Yes	53230	8772	36	10	1	7	81	140	-27.42	-44.72	3278	1232	2632	Deep	420
X10p	10p	10	Pico	Yes	47390	4448	6241	10	1	7	81	140	-27.42	-44.72	3278	1232	2632	Deep	420
X11n	11n	11	Nano	No	24007	6193	3772	11	1	8	85	110	-26.80	-45.30	16312	1615	2100	Deep	330
X11p	11p	11	Pico	Yes	31899	14	10201	11	1	8	85	110	-26.80	-45.30	16312	1615	2100	Deep	330
X120n	120n	120	Nano	Yes	70455	5292	93	120	2	11	96	5	-27.39	-47.82	1150	75	111	Surf	86
X120p	120p	120	Pico	Yes	76182	53272	23147	120	2	11	96	5	-27.39	-47.82	1150	75	111	Surf	86
X121n	121n	121	Nano	Yes	52401	5958	26838	121	2	12	96	30	-27.39	-47.82	1737	218	111	Deep	86
X121p	121p	121	Pico	Yes	71785	10993	23706	121	2	12	96	30	-27.39	-47.82	1737	218	111	Deep	86
X122n	122n	122	Nano	Yes	78740	11730	15543	122	2	13	96	50	-27.39	-47.82	853	234	111	Deep	86
X122p	122p	122	Pico	Yes	37364	11817	11045	122	2	13	96	50	-27.39	-47.82	853	234	111	Deep	86
X125n	125n	125	Nano	Yes	27381	9	14331	125	2	14	98	5	-27.59	-47.39	3086	1300	265	Surf	134
X125p	125p	125	Pico	Yes	55179	10419	21461	125	2	14	98	5	-27.59	-47.39	3086	1300	265	Surf	134
X126n	126n	126	Nano	Yes	65714	15	16929	126	2	15	98	50	-27.59	-47.39	1217	782	265	Deep	134
X126p	126p	126	Pico	Yes	30406	3	10140	126	2	15	98	50	-27.59	-47.39	1217	782	265	Deep	134
X127n	127n	127	Nano	Yes	60610	9	11493	127	2	16	98	85	-27.59	-47.39	3420	226	265	Deep	134
X13n	13n	13	Nano	Yes	46001	33	21316	13	1	9	86	105	-26.33	-45.41	6366	1007	1739	Deep	275
X13p	13p	13	Pico	Yes	59626	7217	11954	13	1	9	86	105	-26.33	-45.41	6366	1007	1739	Deep	275
X140n	140n	140	Nano	Yes	48126	10428	25286	140	2	17	101	5	-27.79	-46.96	500	366	625	Surf	181
X140p	140p	140	Pico	Yes	46569	10448	12301	140	2	17	101	5	-27.79	-46.96	500	366	625	Surf	181
X141n	141n	141	Nano	Yes	30081	6394	21302	141	2	21	101	60	-27.79	-46.96	1046	485	625	Deep	181
X141p	141p	141	Pico	Yes	64221	11318	10428	141	2	21	101	60	-27.79	-46.96	1046	485	625	Deep	181
X142n	142n	142	Nano	Yes	85219	23243	11753	142	2	22	101	110	-27.79	-46.96	641	159	625	Deep	181
X142p	142p	142	Pico	Yes	89797	9553	17156	142	2	22	101	110	-27.79	-46.96	641	159	625	Deep	181
X155n	155n	155	Nano	Yes	54162	8237	20674	155	2	23	106	5	-28.12	-46.17	355	18	2425	Surf	267
X155p	155p	155	Pico	Yes	50782	7384	66172	155	2	23	106	5	-28.12	-46.17	355	18	2425	Surf	267
X156n	156n	156	Nano	Yes	55065	11371	14447	156	2	24	106	60	-28.12	-46.17	1800	300	2425	Deep	267
X156p	156p	156	Pico	Yes	43917	9665	16093	156	2	24	106	60	-28.12	-46.17	1800	300	2425	Deep	267
X157n	157n	157	Nano	Yes	29078	4978	15532	157	2	25	106	100	-28.12	-46.17	6910	1152	2425	Deep	267
X157p	157p	157	Pico	Yes	51848	9139	15204	157	2	25	106	100	-28.12	-46.17	6910	1152	2425	Deep	267
X15n	15n	15	Nano	Yes	22468	2887	2678	15	1	10	87	105	-26.22	-45.48	6189	622	1213	Deep	262
X15p	15p	15	Pico	Yes	78390	13813	1033	15	1	10	87	105	-26.22	-45.48	6189	622	1213	Deep	262
X165n	165n	165	Nano	Yes	50732	15337	14706	165	2	26	114	5	-28.65	-44.99	728	226	3509	Surf	397
X165p	165p	165	Pico	Yes	48514	10902	39918	165	2	26	114	5	-28.65	-44.99	728	226	3509	Surf	397
X166n	166n	166	Nano	Yes	53412	3411	24442	166	2	27	114	60	-28.65	-44.99	660	578	3509	Deep	397
