division	class	trophic_mode	color	color_hex
Chlorophyta	Mamiellophyceae	auto	greeen4	#238b45
Chlorophyta	Prasino_Clade_VII	auto	greeen3	#74c476
Chlorophyta	Ulvophyceae	auto	greeen2	#bae4b3
Chlorophyta	Chlorophyceae	auto	greeen1	#edf8e9
Cryptophyta	Cryptophyceae	auto	yellow	#F0E442
Dinophyta	Dinophyceae	auto	pink	#CC79A7
Haptophyta	Prymnesiophyceae	auto	blue	#045a8d
Ochrophyta	Bacillariophyta	auto	red5	#a50f15
Ochrophyta	Dictyochophyceae	auto	red4	#de2d26
Ochrophyta	Pelagophyceae	auto	red3	#fb6a4a
Ochrophyta	Chrysophyceae	auto	red2	#fcae91
Centroheliozoa	Centroheliozoa_X	hetero	black	#000000
Cercozoa	Chlorarachniophyceae	auto	grey	#E0E0E0
Cercozoa	Sarcomonadea	hetero	black	#000000
Chlorophyta	Prasino_Clade_IX	auto	grey	#E0E0E0
Chlorophyta	Prasinococcales	auto	grey	#E0E0E0
Chlorophyta	Pyramimonadales	auto	grey	#E0E0E0
Chlorophyta	Trebouxiophyceae	auto	grey	#E0E0E0
Choanoflagellida	Choanoflagellatea	hetero	black	#000000
Ciliophora	Spirotrichea	hetero	black	#000000
Dinophyta	Syndiniales	hetero	black	#000000
Fungi	Ascomycota	hetero	black	#000000
Fungi	Basidiomycota	hetero	black	#000000
Fungi	Chytridiomycota	hetero	black	#000000
Haptophyta	Haptophyta_HAP2	auto	grey	#E0E0E0
Haptophyta	Haptophyta_HAP3	auto	grey	#E0E0E0
Haptophyta	Haptophyta_X	auto	grey	#E0E0E0
Lobosa	Tubulinea	hetero	black	#000000
Metazoa	Arthropoda	hetero	black	#000000
Metazoa	Craniata	hetero	black	#000000
Ochrophyta	Bolidophyceae	auto	grey	#E0E0E0
Ochrophyta	Ochrophyta_X	auto	grey	#E0E0E0
Others	Others		black	#000000
Stramenopiles_X	Bicoecea	hetero	black	#000000
Stramenopiles_X	MAST	hetero	black	#000000
Stramenopiles_X	MOCH	hetero	black	#000000
Stramenopiles_X	Stramenopiles_X	hetero	black	#000000
Streptophyta	Embryophyceae	auto	grey	#E0E0E0
Streptophyta	Klebsormidiophyceae	auto	grey	#E0E0E0
Telonemia	Telonemia	hetero	black	#000000
Others_auto	Others_auto	auto	grey	#E0E0E0
