otu	otu_total	otu_fraction_of_total	otu_fraction_cumulative	10n	10p	11n	11p	120n	120p	121n	121p	122n	122p	125n	125p	126n	126p	127n	13n	13p	140n	140p	141n	141p	142n	142p	155n	155p	156n	156p	157n	157p	15n	15p	165n	165p	166n	166p	167n	167p	1n	1p	2n	2p	3n	3p	5n	5p	7n	7p	9n	9p	tri01n	tri01p	tri02n	tri02p	tri03n	tri03p	Mothur_Taxo1	Mothur_Taxo2	Mothur_Taxo3	Mothur_Taxo4	Mothur_Taxo5	Mothur_Taxo6	Mothur_Taxo7	Mothur_Taxo8	Final_Taxo1	Final_Taxo2	Final_Taxo3	Final_Taxo4	Final_Taxo5	Final_Taxo6	Final_Taxo7	Final_Taxo8	BLAST_best_identity	BLAST_best_Accession	BLAST_best_Organism	BLAST_best_Description
Otu001	350230	0.11894	0.11894	13679	6292	42	2500	18850	5	43	7138	9432	10541	9	9772	1388	7	31538	38	2338	23	9	1358	36	42	0	43	8	25	4	0	7110	6	869	3064	2	16	0	15	6	34898	38	961	66205	90380	32	2225	32	12541	651	6453	9453	0	27	49	4	30	3	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus_tauri	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus_clade_B	1.000	AY425310	Ostreococcus sp. RCC143	Ostreococcus sp. RCC 143 small subunit ribosomal RNA gene, partial sequence
Otu002	337596	0.11465	0.23360	18	7134	38	9830	45	61420	182	23751	36	11	4535	3502	11018	5473	26	14411	38	19018	12	3080	20	37	6855	56	29899	5387	13459	12	3900	6794	41	4766	50	27259	12317	54	12	1308	2348	14	3222	3481	27	37	48	10010	16	1666	23	2719	11974	6067	2827	52	17261	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae	Braarudosphaeraceae	Braarudosphaeraceae	Braarudosphaeraceae	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae_X	Braarudosphaeraceae	UCYN_A1_host	Biosope_T60.034	1.000	FJ537341	uncultured Chrysochromulina	Uncultured Chrysochromulina clone Biosope_T60.034 18S ribosomal RNA gene, partial sequence
Otu003	314675	0.10687	0.34046	9939	8983	31	13	24620	19	19	16	12502	3831	4621	2240	9924	4052	9292	18	0	37	7	3680	14740	57440	5712	47	25	18206	2287	11	25535	9	9710	27149	15	13570	15	19	1519	4804	17	9	10849	9941	24	5173	10	23	8	4933	8939	0	25	45	7	12	3	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus_prasinos	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus_prasinos	1.000	FO082268	Bathycoccus prasinos	Bathycoccus prasinos genomic : Chromosome_11
Otu004	148588	0.05046	0.39093	3675	4234	24	22	11	16	32967	35	6	18	6908	5	16	8702	24	11	37717	0	25	4196	4	9	5	31	21	2	14	9	4	9	15	8	5	4	7	0	13	2585	40	7	6698	4494	10	35	20980	8	14922	6	12	5	0	3	0	3	8	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp._strain9	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Prorocentrum		1.000	AY803742	Prorocentrum dentatum	Prorocentrum dentatum isolate CCMP1517 small subunit ribosomal RNA gene, partial sequence
Otu005	83434	0.02834	0.41926	0	5	0	7	0	8	0	16	20166	0	0	2	5	8	2	16	0	13	0	0	0	0	5	0	0	14	0	0	0	1	0	0	4	0	13	12	0	14196	7	6756	6	6	18437	4	23695	15	0	2	0	0	0	0	0	0	13	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Mediophyceae	Mediophyceae_X	Thalassiosira		1.000	AB827486	uncultured diatom	Uncultured diatom gene for 18S rRNA, partial sequence, clone: HP18D-43
Otu006	79382	0.02696	0.44622	0	8	0	0	0	8	0	0	5	3	3	0	0	9	0	5	4	0	0	3	0	0	10	0	0	1	0	6	0	0	0	0	13	0	0	5	0	13588	5905	8730	1	12	50272	5	778	0	0	0	0	0	0	0	8	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Pseudo-nitzschia		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_X	Pseudo_nitzschia		1.000	KP709000	Pseudo-nitzschia kodamae	Pseudo-nitzschia kodamae voucher PnPd31 18S ribosomal RNA gene, partial sequence
Otu007	77275	0.02624	0.47247	4587	518	4	386	8775	5	6	1102	14336	0	0	3626	51	0	6	12	0	10	0	395	3488	8	0	7815	38	6	0	239	14	0	4437	7	4177	2803	1562	7	0	4219	0	431	4161	3	1988	9	25	9	3	1	7972	0	11	4	1	0	18	Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagophyceae_X	Pelagophyceae_XX	Pelagomonas	Pelagomonas_calceolata	Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagophyceae_X	Pelagophyceae_X	Pelagomonas	Pelagomonas_calceolata	1.000	AF363176	eukaryote marine clone ME1-27	Eukaryote marine clone ME1-27 clone ME1-27 18S ribosomal RNA gene, partial sequence
Otu008	73570	0.02499	0.49745	1	8	2	4408	3	29	6	12355	0	0	0	0	0	9	3	1588	0	6	3	3	4	12	27737	10	25	0	0	0	1	0	5682	0	6	3	11	0	1	0	1	0	0	0	127	5	14577	762	2	0	752	0	0	0	8	5412	8	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp._strain28	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Dinophyceae_X		1.000	JX840913	uncultured dinoflagellate	Uncultured dinoflagellate clone ARK_69 18S ribosomal RNA gene, partial sequence
Otu009	69360	0.02356	0.52101	115	914	3	325	0	629	1	834	5	0	1354	2108	1117	67	0	2010	1897	11227	1	3	5	1	1	203	0	6	2591	0	472	279	10	266	0	1152	1063	15678	0	9	7552	11	0	5	2	3	1	1520	675	64	3	2	14476	5	0	0	695	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina		1.000	EU500075	uncultured eukaryote	Uncultured eukaryote clone hotxp4d1 18S ribosomal RNA gene, partial sequence
Otu010	69306	0.02354	0.54454	780	8	23810	12	3279	0	12	7	3027	0	2	4156	0	0	18	0	0	0	0	0	6	0	0	22	6	0	0	0	3	1	798	0	6764	9	5	6	4	0	0	0	4	1	3	8	8	0	0	1	5860	1385	5	2	7	19278	9	Eukaryota	Opisthokonta	Metazoa	Craniata	Craniata_X	Craniata_XX	Craniata_XX_unclassified		Eukaryota	Opisthokonta	Metazoa	Craniata	Craniata_X	Craniata_XX	Craniata_XX_unclassified		1.000	JN412502	Bubalus bubalis	Bubalus bubalis 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 28S ribosomal RNA gene, complete sequence
